 Consumption
 Time, Wh 
  27/03/2026 00:00 , 57.72 
  27/03/2026 01:00 , 47.62 
  27/03/2026 02:00 , 47.67 
  27/03/2026 03:00 , 47.72 
  27/03/2026 04:00 , 47.74 
  27/03/2026 05:00 , 47.75 
  27/03/2026 06:00 , 47.51 
  27/03/2026 07:00 , 21.31 
  27/03/2026 08:00 , 14.3 
  27/03/2026 09:00 , 3.61 
  27/03/2026 10:00 , 3.63 
  27/03/2026 11:00 , 41.14 
  27/03/2026 12:00 , 92.39 
  27/03/2026 13:00 , 152 
  27/03/2026 14:00 , 133.35 
  27/03/2026 15:00 , 164.47 
  27/03/2026 16:00 , 427.29 
  27/03/2026 17:00 , 284.99 
  27/03/2026 18:00 , 0 
  27/03/2026 19:00 , 0 
  27/03/2026 20:00 , 0 
  27/03/2026 21:00 , 0 
  27/03/2026 22:00 , 0 
  27/03/2026 23:00 , 0 
 
 Total returned
 Time, Wh 
  27/03/2026 00:00 , 0 
  27/03/2026 01:00 , 0 
  27/03/2026 02:00 , 0 
  27/03/2026 03:00 , 0 
  27/03/2026 04:00 , 0 
  27/03/2026 05:00 , 0 
  27/03/2026 06:00 , 0 
  27/03/2026 07:00 , 0 
  27/03/2026 08:00 , 0 
  27/03/2026 09:00 , 0 
  27/03/2026 10:00 , 0 
  27/03/2026 11:00 , 0 
  27/03/2026 12:00 , 0 
  27/03/2026 13:00 , 0 
  27/03/2026 14:00 , 0 
  27/03/2026 15:00 , 0 
  27/03/2026 16:00 , 0 
  27/03/2026 17:00 , 0 
  27/03/2026 18:00 , 0 
  27/03/2026 19:00 , 0 
  27/03/2026 20:00 , 0 
  27/03/2026 21:00 , 0 
  27/03/2026 22:00 , 0 
  27/03/2026 23:00 , 0 
 
