Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-03-23T22:07:32.860Z","Included","claude-4.6-opus-high","No","9492","18","1342561","6119","1358190","0.88"
"2026-03-23T22:06:55.343Z","Included","claude-4.6-opus-high","No","123","3","78933","480","79539","0.05"
"2026-03-23T22:06:08.898Z","Included","claude-4.6-opus-high","No","12633","6","278352","692","291683","0.24"
"2026-03-23T22:04:31.296Z","Included","claude-4.6-opus-high","No","379","3","65921","414","66717","0.05"
"2026-03-23T22:00:24.904Z","Included","claude-4.6-opus-high","No","49033","3","16888","239","66163","0.32"
"2026-03-23T20:55:24.723Z","Included","claude-4.6-opus-high","No","48704","3","16888","235","65830","0.32"
"2026-03-23T20:23:53.211Z","Included","claude-4.6-opus-high","No","258918","199251","1786528","17629","2262326","2.87"
"2026-03-23T20:21:47.163Z","Included","auto","No","0","5267","543232","2791","551290","0.16"
"2026-03-23T20:18:21.300Z","Included","auto","No","0","173750","6656","321","180727","0.22"
"2026-03-23T19:33:14.606Z","Included","auto","No","0","175913","537216","1793","714922","0.36"
"2026-03-18T19:25:33.666Z","Included","auto","No","0","31394","2761728","6465","2799587","0.77"
"2026-03-18T19:25:19.441Z","Included","auto","No","0","1419","166400","107","167926","0.04"
"2026-03-18T19:25:04.097Z","Included","auto","No","0","13343","154112","117","167572","0.06"
"2026-03-18T19:15:11.018Z","Included","auto","No","0","172846","2421760","12897","2607503","0.90"
"2026-03-18T18:22:02.180Z","Included","auto","No","0","150913","5376","93","156382","0.19"
"2026-03-18T17:26:38.222Z","Included","auto","No","0","144711","11264","301","156276","0.19"
"2026-03-18T16:49:34.666Z","Included","auto","No","0","148474","626176","1779","776429","0.35"
"2026-03-18T14:59:50.341Z","Included","auto","No","0","33731","1779456","5257","1818444","0.52"
"2026-03-18T14:43:10.847Z","Included","auto","No","0","27434","1253632","4604","1285670","0.38"
"2026-03-18T14:30:53.508Z","Included","auto","No","0","251129","835072","1908","1088109","0.53"
"2026-03-17T22:28:34.267Z","Included","auto","No","0","91578","961024","6583","1059185","0.39"
"2026-03-17T22:26:43.534Z","Included","auto","No","0","123030","385979","2577","511586","0.27"
"2026-03-17T22:22:58.480Z","Included","auto","No","0","110282","361472","2518","474272","0.24"
"2026-03-17T22:22:38.628Z","Included","auto","No","0","15499","99840","2635","117974","0.06"
"2026-03-17T21:29:45.358Z","Included","auto","No","0","16901","658432","7392","682725","0.23"
"2026-03-17T21:19:59.430Z","Included","auto","No","0","24544","890368","12163","927075","0.33"
"2026-03-17T21:18:13.926Z","Included","auto","No","0","45327","120320","412","166059","0.09"
"2026-03-17T21:02:23.853Z","Included","auto","No","0","4575","53248","1613","59436","0.03"
"2026-03-17T21:02:10.543Z","Included","auto","No","0","60317","1108480","19052","1187849","0.47"
"2026-03-17T21:00:08.896Z","Included","auto","No","0","1376","113152","827","115355","0.03"
"2026-03-17T20:57:57.955Z","Included","auto","No","0","1273","112128","700","114101","0.03"
"2026-03-17T20:45:43.891Z","Included","auto","No","0","877","111616","495","112988","0.03"
"2026-03-17T20:41:14.058Z","Included","auto","No","0","6347","110592","1182","118121","0.04"
"2026-03-17T20:38:41.163Z","Included","auto","No","0","1045","109568","165","110778","0.03"
"2026-03-17T20:36:21.742Z","Included","auto","No","0","107611","10752","2631","120994","0.15"
"2026-03-17T20:32:20.846Z","Included","auto","No","0","99502","14720","473","114695","0.13"
"2026-03-17T20:21:12.354Z","Included","auto","No","0","560","112512","219","113291","0.03"
